Status    name    IP    Version
Online    aixnpn-fw00    10.35.35.34    R80.20
Online    aixnpn-fw00-a    10.35.35.35    R80.20
Online    aixnpn-fw00-b    10.35.35.36    R80.20
Online    aixnpn-tempfw00    10.35.4.1    R80.20
Online    avenpn-fw00    10.35.5.1    R80.20
Online    avenpn-fw00-a    10.35.5.2    R80.20
Online    avenpn-fw00-b    10.35.5.3    R80.20
Online    badnpn-fw00    10.35.6.1    R80.20
Online    basnpn-fw00    10.35.7.1    R80.20
Online    bednpn-fw00    10.35.8.1    R80.20
Online    bennpn-fw00    10.35.9.1    R80.20
Online    bilnpn-fw00    10.35.10.1    R80.20
Online    bounpn-fw00    10.35.11.1    R80.20
Online    bounpn-fw00-a    10.35.11.2    R80.20
Online    bounpn-fw00-b    10.35.11.3    R80.20
